"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccl12",93.7890933197124,4.8446511796244,0.780988459723976,6.20323017492043,5.53158426530672e-10,6.0628797635507e-07
"Fcgr3",643.072396431042,1.76915529576497,0.289752316609495,6.10575030587,1.02318862852434e-09,1.07048784830658e-06
"Tmem176a",1460.83704645445,1.43591292968371,0.236276948894724,6.07724509902785,1.22264812553722e-09,1.22355182197783e-06
"Rac2",272.05516066843,2.16885206491486,0.362355085070714,5.98543294760609,2.15815017746649e-09,2.06975594311443e-06
"Timp1",38.3014820493015,5.23576439730896,0.882103766997496,5.93554249873623,2.92875444068924e-09,2.69644563845377e-06
"Ccl4",40.8837896320452,5.50760567424799,0.929314750694557,5.92652346272528,3.09415194012598e-09,2.73915750791845e-06
"Laptm5",1531.33853941247,1.597816230948,0.274355011886412,5.82390028147008,5.74898866096953e-09,4.90090637072355e-06
"Ctss",5245.43652678217,1.75181410456454,0.305780631457775,5.72898975390612,1.01030496191327e-08,8.30506761012778e-06
"Gpnmb",126.784831701353,2.52864023578588,0.448197354737853,5.64180089207546,1.6828063836693e-08,1.33562601837642e-05
"Ctsz",3171.05663219529,1.84848223855974,0.328764306998141,5.62251497261896,1.88197249916541e-08,1.44391203377634e-05
